ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,MileMinDur,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime
22186,12/10/1989,4-Aug-2014,11-May-2020,1,Zoology,0,0,69.97,210.45,1,8.549, ,94.41,92.48,73.18,84.32,In state,1, , , ,9
28642,9/22/1987,4-Aug-2014,11-May-2020,1,Human Development and Family Studies,1,0,65.45,150.12,0, ,0:09:23,80.82,69,62.53,82.44,In state, , , , ,10
44795,3/8/1987,4-Aug-2014,13-May-2019,1, ,1,0,69.94,240.42, ,6.598,0:09:23,93,83.23,86.66,90.94, ,1, , ,5,5
47027,2/10/1987,4-Aug-2014,13-May-2019,1, ,1,0,62.73, ,1,7.98,0:10:49,80.74,78.99,59.38,76.49,In state,1, , ,3,11
22416, ,4-Aug-2014,13-May-2019,1, ,0,1, , ,0,4.679,0:06:22,76.87,81.84,76.81,76.28,In state,0,3,32,6,2
20255,1/1/1996,5-Aug-2013,14-May-2018,2,double major english and communications,1,0,65.75, ,0,7.684,0:11:57,80.46,81.22,46.3,72.24,Out of state, ,3,26, ,2
20826,12/25/1995,5-Aug-2013,14-May-2018,2, ,0,0,66.21,227.9,0,6.229,0:06:47,77.38,67.59,66.59,76.47,In state,1, , ,9,7
22494,12/5/1995,5-Aug-2013,14-May-2018,2,premed,0,1,64.92,129.16,0,5.139,0:07:50,83.11,75.79,65.43, , , , , ,4,5
27688,10/2/1995,5-Aug-2013,14-May-2018,2,archaeology,1,0,69.41,170.86,1,7.652,0:09:32,86.99,84.61,78.33,84.56,Out of state,1, , , ,3
29363,9/12/1995,5-Aug-2013,13-May-2019,2, ,1,0,66.93,218.56, ,6.615,0:11:24,90.33,96.79,69.79,93.01,In state,1, , ,4, 
34623,7/10/1995,5-Aug-2013,14-May-2018,2, ,1,0,66.21,217.45,0,6.902,0:10:17,78.2,75.92,46.99,81.43, ,0,3,35,7,8
35350,7/1/1995,5-Aug-2013,14-May-2018,2, ,1,0,56.36,126.47,0,7.57,0:10:03,87.33,67.42,53.17,87.05,Out of state,1, , ,7,3
36655,6/16/1995,5-Aug-2013,13-May-2019,2,biostatistics,0,1,64.39,194.98,0,5.27,0:06:08,81.9,81.98,73.83,73.72,In state,0,3,24,8,6
46265,2/20/1995,5-Aug-2013,14-May-2018,2,bio tech,0,1,69.97,172.91,0,5.521,0:06:05,91.92,73.49,63.88,85.42,In state,0, , ,8, 
22617,12/4/1994,5-Aug-2013,14-May-2018,2,graphic design with a minor in photography,0,1,74.05, ,2,5.504,0:06:16,82.14,86.18,67.71,76.71,In state,1, , ,5,7
25034,11/4/1994,5-Aug-2013,14-May-2018,2,Secondary Education,1,0,66.35, ,0,7.403,0:09:17,74.68,75.42,62.08,77.96,In state,1, , ,5,3
25221,11/2/1994,5-Aug-2013,14-May-2018,2,World history,0,1,67.31,206.56,0,5.02,0:05:49,73.12,87.62,63.49,69.56,In state,1, , ,6,2
26961,10/11/1994,5-Aug-2013,13-May-2019,2, ,1,0,60.51,134.85,0,7.802,0:11:05,83.45,90.41,60.94,76.85,In state,0,3,18,5,4
27435,10/5/1994,5-Aug-2013,13-May-2019,2, ,1,0,62.32,186.5,1,6.876,0:07:59,83.83,94.87,73.25,81.85,In state,0,3,32,1,5
28084,9/29/1994,5-Aug-2013,13-May-2019,2,architecture,0,0,70.16, ,0,8.246, ,91.72,86.81,71.22,81.83,In state,1, , ,6,4
28460,9/23/1994,5-Aug-2013,14-May-2018,2,Photography/Photo Illustration,1,1,66.95,161.61,0,5.632,0:05:48,77.68,73.78,61.55,86.28,In state,1, , ,4,3
28570,9/22/1994,5-Aug-2013,13-May-2019,2, ,0,0,67.93,136.96,2, ,0:09:25,71.28,66.97,59.05,77.43,In state,1, , ,9, 
29313,9/13/1994,5-Aug-2013,14-May-2018,2,Fashion design,0,1,65.56,162.63,1,5.153,0:07:24,86.47,85.19,64.45,79.36,In state,1, , ,5,3
31189,8/21/1994,5-Aug-2013,13-May-2019,2,phys ed,0,1,75.44,205.84,0,5.886,0:06:27,81.19,89.84,68.4,81.66,In state,1, , ,8,12
31576,8/16/1994,5-Aug-2013,14-May-2018,2, ,1,1,65.02,143.05,0,5.644,0:07:00, ,80.45,66.51,72.36,In state,1, , ,8,1
32437,8/6/1994,5-Aug-2013,13-May-2019,2,education - social studies,1,0,62.28,128.98,0,6.476,0:08:35,74.59,72.61,63.64,78.86, ,0,3,18,6,1
32439,8/5/1994,5-Aug-2013,14-May-2018,2, ,1,1,65.45,149.18,0,5.472,0:07:01,91.44,96.56,76.42,87.32,Out of state,0,3,28,8,7
33117,7/28/1994,5-Aug-2013,13-May-2019,2,english literature,1,1,63.27,122.85,0,5.303,0:07:17,87.75,81.48,62.87,80.16,In state,1, , ,5,7
33377,7/25/1994,5-Aug-2013,13-May-2019,2, ,1,0,57.5,103.44,0,7.708,0:10:53,84.18,87.59,61.3,82.64,In state,1, , ,8,3
33454,7/24/1994,5-Aug-2013,14-May-2018,2, ,1,0,76.3,228.36,2,7.586,0:12:53, ,76.12,64.49,85.19,In state,0,3,37,6,4
36104,6/23/1994,5-Aug-2013,13-May-2019,2,eudcation,0,1,70.74,175.65,0,4.716,0:06:19,76.49,89.04,62.25,67.08,In state,0,3,26,1,10
36406,6/18/1994,5-Aug-2013,13-May-2019,2,Marketing & Graphic Design,1,0,68.21,219.26,0,7.337, ,82.46,98.48,60.56,78.51,In state,1, , ,4,8
36714,6/16/1994,5-Aug-2013,13-May-2019,2,busieness,0,0,69.93,199.78, ,6.905,0:07:15,95.11,94.66,73.25,77.75,In state,1, , ,6,6
36693,6/14/1994,5-Aug-2013,13-May-2019,2,Accounting,1,0,67.65,127.16,2,9.475,0:11:46,80.53,87.96,64.28,81.96,In state,1, , ,5,5
37615,6/2/1994,5-Aug-2013,14-May-2018,2,science education (k-12),1,1,68.33,156.75, ,5.769,0:07:01,76.01,79.17,65.63, ,In state,1, , ,5,7
38362,5/26/1994,5-Aug-2013,13-May-2019,2, ,0,0,74.29,184.6,0,9.071,0:12:21,90.5,84.56,68.59,73.07,In state,1, , ,4,1
38549,5/24/1994,5-Aug-2013,13-May-2019,2,chem engineering,0,0,78.55,164.79,0,8.142,0:07:58,91.2,89.95,77.45,82.24, ,0,3,24,6,3
41157,4/21/1994,5-Aug-2013,13-May-2019,2, ,1,0,73.12,159.82,0,8.512,0:12:56,77.67,92.88,76.91,78.91,Out of state,1, , ,11,4
41227,4/19/1994,5-Aug-2013,14-May-2018,2, ,1,0, ,272.51,0,7.296, ,87.73,80.22,69.55,82.11,In state,1, , ,5,8
41870,4/11/1994,5-Aug-2013,13-May-2019,2,I am currently exploring options,1,0,55,101.71,0,7.433,0:10:08,86.23,89.19,61.2,88.91,Out of state, ,3,24,9,3
42217,4/7/1994,5-Aug-2013,14-May-2018,2, , ,1,70.1,186.81,0,5.617,0:06:53,87.15,91.86,70.96,89.84,Out of state,1, , ,7,4
42783,4/3/1994,5-Aug-2013,14-May-2018,2,Neuroscience,0,0,61.66,181.77,2,7.332,0:06:52,87.71,91.03,76.42,84.27,In state,0,3,28,7,2
42830,4/2/1994,5-Aug-2013,14-May-2018,2,Econ,0,1,77.55,166.64,0,5.238,0:07:06,76.12,88.46,66.48, ,In state,0,3,28, ,2
42791,4/1/1994,5-Aug-2013,13-May-2019,2,Theology,1,0,63.52,180.09,0,9.241,0:11:24,85.62,82.48,82.4,87.1,In state,1, , ,10,5
43973,3/17/1994,5-Aug-2013,14-May-2018,2,Mathematics,1,0,74.1,212.69,2,8.429,0:10:44,80.53,94.46,76.73,86.66, ,1, , ,12,3
47506,2/3/1994,5-Aug-2013,13-May-2019,2,Biology,1,1,62.74,161.47,0, ,0:06:36,75.09,88.17,72.1,76.65, ,1, , ,8,7
49879,1/7/1994,5-Aug-2013,14-May-2018,2,exercise science,0,1,72.09,217.25,0,5.46,0:06:27,72.8,73.18,53.71,72.41,Out of state,0,3,27,6,4
20402,12/31/1993,5-Aug-2013,14-May-2018,2,biz admin,0,0,62.46,202.77,0,6.132,0:07:14,74.15,80.96,69.39,75.77,In state,0,3,30,9,7
20626,12/28/1993,5-Aug-2013,13-May-2019,2, ,1,0,57.42,179.34,2,6.619, ,73.12,81.34,69.47,78.81,In state,0,4,53,6,2
20903,12/25/1993,5-Aug-2013,13-May-2019,2, ,0,1,65.99,141.53,0,5.663,0:05:45,89.95,83.61,61.04,78.86,In state,0,3,23, ,4
22742,12/2/1993,5-Aug-2013,14-May-2018,2,sports med,1,0,74.47, ,0,7.499,0:11:33,84.14,68.46,47.42,85.33, ,1, , ,4,8
23731,11/20/1993,5-Aug-2013,13-May-2019,2,Theater,0,1,72.69,209.32,0,5.554,0:06:26,87.83,84.06,63.32,72.53,In state,0,4,57,4,3
25714,10/27/1993,5-Aug-2013,14-May-2018,2, , ,0,61.49,237.06,0,6.32,0:05:32,82.23,86.94,62.51,75.63,In state, , , , ,6
28053,9/28/1993,5-Aug-2013,13-May-2019,2,math ed,1,0,67.77,150.92,0,8.17,0:11:41,88.16,80.86,58.27,78.2,In state,1, , ,7,3
28668,9/21/1993,5-Aug-2013,13-May-2019,2,undecided,0,1,65.13,158.49,0, ,0:06:39,77.07,86.95,68.02,79.05,In state, , , ,5,12
29238,9/14/1993,5-Aug-2013,14-May-2018,2,Urban studies,0,1,76.44,195.2,0,5.232,0:06:28,86.46,91.52,74.07,78.15,In state,0,3,33,8,13
30418,8/31/1993,5-Aug-2013,13-May-2019,2,nursing, ,0,64.75,227.08,0,6.52,0:05:14,96.16,78.02,58.29,79.61, ,0,3,40,7, 
30720,8/27/1993,5-Aug-2013,14-May-2018,2,pan-african studies and english,0,0,64.83,159.95,0,6.897,0:07:47,82.06,78.72,73.13,73.33,In state,0,3,21,13,12
35687,6/26/1993,5-Aug-2013,13-May-2019,2,Sociology,1,0,57.33,108.01,0,8.525,0:10:13,81.74,83.16,46.25,84.22,In state,1, , ,8,7
36368,6/19/1993,5-Aug-2013,13-May-2019,2, ,0,1,74.96,183.16,0,4.642,0:07:31,68.77,85.45,64.91,70.19,Out of state,0,4,40,10, 
36336,6/18/1993,5-Aug-2013,14-May-2018,2,Economics,1,0,67.7,123.31,0,8.103,0:13:41,82.15,96.24,67.59,79.11,In state,0,3,26,3,4
37105,6/8/1993,5-Aug-2013,14-May-2018,2,Undecided,1,1,66.15, ,2,6.651,0:07:00,76.62,79.86,59.55,82.14,In state,0,3,24,5,3
37421,6/7/1993,5-Aug-2013,14-May-2018,2,Englis,0,1,70.36,217.99,0,5.755, , ,92.05,78.63,78.19,In state,0,4,51,4,5
37301,6/6/1993,5-Aug-2013,14-May-2018,2, ,1,0, ,180.47,2,7.623, ,90.83,90.28,66.51,78.65,Out of state,0,4,43,7,1
38418,5/25/1993,5-Aug-2013,14-May-2018,2, ,0,0,66.99,122.67,0,7.08,0:06:19,69.32,66.09,51.08,80.44,In state,1, , ,7,5
38724,5/21/1993,5-Aug-2013,13-May-2019,2,I'm not answering this. This survey is too long and I am b,1,1,62.98,159.58,0,5.536,0:06:44,80.71,80.56, ,75.48,In state,1, , ,4,4
41156,4/21/1993,5-Aug-2013,13-May-2019,2, ,1,1,66.61,172.85,0,5.083, , ,81.11,72.83,90.81, ,0,3,27,6,16
41503,4/19/1993,5-Aug-2013,13-May-2019,2, ,0,0,68.35,216.11,0,6.326,0:05:38,85.29,72.55, ,80.46,In state,1, , ,5,13
43678,3/24/1993,5-Aug-2013,14-May-2018,2,business admin, ,1,67.15,187.29,0,5.108,0:05:01,73.31,81.99,73.2,74.14,In state,1, , ,2,4
43971,3/18/1993,5-Aug-2013,13-May-2019,2, ,1,1,64.7,182.59,0,6.093,0:05:57,83.27,80.54,70.55,86.27,In state,1, , ,4, 
45902,2/24/1993,5-Aug-2013,13-May-2019,2, ,0,0,65.22,154.11,2, ,0:08:17,85.16,83.96,64.56,90.62,In state,1, , ,10,6
46663,2/13/1993,5-Aug-2013,14-May-2018,2, ,1,0,70.77,267.37,1,6.391,0:08:43,84.79,87.04,64.34,76.01,Out of state,1, , ,5,5
47339,2/4/1993,5-Aug-2013,13-May-2019,2, ,1,1,66.63,164.82,0,6.092,0:07:02,69.78,77.16,62.23,78.04,In state,0,3,32,10,13
47912,1/29/1993,5-Aug-2013,13-May-2019,2,Comm,0,0,64.31,211.65,0, ,0:08:58,88.02,81.46,57.78,80.37,Out of state,1, , ,4,4
48764,1/16/1993,5-Aug-2013,14-May-2018,2, ,1,0,60.94,198.51,2,6.29,0:06:56,85.55,88.08,72.74,89.31,In state,0,3,31,6, 
49386,1/11/1993,5-Aug-2013,13-May-2019,2,Spanish,1,0,68.33,170.81,0,8.678,0:11:25, ,70.5,57.16,90.66,In state,1, , ,6,11
27037,10/11/1992,5-Aug-2013,13-May-2019,2,botany,0,0,82.4,329.2,2,6.698,0:10:25,72.66,74.61,63.23,71.7,Out of state,1, , ,9,4
29009,9/17/1992,5-Aug-2013,13-May-2019,2,music,1,0,60.13,115.83, ,8.598, ,75.56,75.68,57.47,74.78,In state,1, , ,3,3
32224,8/9/1992,5-Aug-2013,14-May-2018,2,I want to be a doctor,0,1,75.5,212.01,0,5.031,0:08:07, ,77.85,63.79,85.42,In state,0,3,25,7,4
32712,8/3/1992,5-Aug-2013,14-May-2018,2,Exercise Science (Exercise Specialist),0,0,67.81,318.87,2,5.99,0:05:32,90.29,78.63,65.35,76.83,In state,0,3,27,3,9
37553,6/6/1992,5-Aug-2013,13-May-2019,2, ,0,0,68.22,167.04,0,8.221,0:09:50,82.86,80.98,67.23,79.49,In state,0,3,18,3,5
39290,5/14/1992,5-Aug-2013,13-May-2019,2, ,1,0,56.92,166.97, ,6.813, ,90.43,80.36,57.17,87.33, ,1, , ,8,7
40193,5/5/1992,5-Aug-2013,14-May-2018,2,  spanish language education,0,0,80.41,321.24,2,6.832,0:08:55,89.53,83.73,72.98,81.03,Out of state,1, , ,4,4
45784,2/25/1992,5-Aug-2013,13-May-2019,2, ,1,0,61.2, ,2, ,0:09:16, ,80.79, ,76.25,Out of state,0,3,27,2,5
46911,2/11/1992,5-Aug-2013,13-May-2019,2, ,1,0,76.97,269.82,0,7.153,0:11:46,77.36,80.47,72.62,89.02,In state,1, , ,5,4
47007,2/10/1992,5-Aug-2013,13-May-2019,2,it was biology but I switched to psych,1,1,64.13,153.72,0,5.551,0:07:23,83.71,83.97,69.37,81.64,In state,1, , ,6,5
48816,1/19/1992,5-Aug-2013,14-May-2018,2,Bio,1,0,67.26,182.98,2, ,0:09:57,86.89,74.5,66.02,83.58,In state,1, , ,7,5
49445,1/13/1992,5-Aug-2013,13-May-2019,2,music tech (production),0,1,80.71,206.96, ,4.93,0:06:25,93.57,85.35,66.54,82.41,In state,0,3,31,10, 
22417,12/7/1991,5-Aug-2013,13-May-2019,2,Business,1,0,57.2, ,0, ,0:07:29,83.75,81.54,51.95,77.56,In state,1, , ,13,4
26199,10/22/1991,5-Aug-2013,14-May-2018,2,bphil,1,0,64.88,162.8,0,7.99,0:12:06,83.2,76.03,54.85,85.8,In state,0,3,20,2,8
29464,9/12/1991,5-Aug-2013,14-May-2018,2,wissenschaft,1,0,66.38,124.59,0,9.597,0:13:01,85.52,80.77,50.11,83.67,In state,0,3,18, ,9
29529,9/11/1991,5-Aug-2013,13-May-2019,2,communications,1,1,69.94, ,0,4.637,0:05:51,89.68,90.6,69.89,80.68,In state,0,3,28, ,2
29757,9/9/1991,5-Aug-2013,13-May-2019,2, ,0,1,73.19,174.59,0,5.835,0:07:34,78.74,81.77,70.19,75.83,In state,0,3,20,3,9
40601,4/30/1991,5-Aug-2013,13-May-2019,2,sociology,0,1,70.38, ,0, ,0:05:26,70.35,64.6,60.57,75.92,Out of state,0,3,35,9,6
41147,4/24/1991,5-Aug-2013,14-May-2018,2, ,0,0,73.01,173.43,0, ,0:10:07,75.58,74.57,63.84, ,Out of state, , , ,4,3
47835,1/29/1991,5-Aug-2013,13-May-2019,2,Undecided,1,0,74.93,162.2,0,9.244,0:11:58,83.79,95.46,67.86,80.03,In state,1, , ,8,4
26262,10/22/1990,5-Aug-2013,14-May-2018,2,"Double major in Sociology and Psychology, minor in history",0,0,66.64,161.08,0,7.207,0:07:39,83.59,81.11,83.54,76.56,In state,0,3,28,8,11
28689,9/22/1990,5-Aug-2013,14-May-2018,2,journalism,0,0,60.49, , ,8.001,0:07:14,90.64,91.65,70.38,78.62,In state,0,3,38,10,3
39867,5/8/1990,5-Aug-2013,13-May-2019,2,biology,0,0,66.07,116.99,2,8.929, ,86.91, ,73.52,75.85,Out of state,0,3,30,8,6
22054,12/12/1989,5-Aug-2013,14-May-2018,2, ,0,1,71.67, ,0, , ,84.96,86.06,56.81,72, ,0,3,30,8,3
33017, ,5-Aug-2013,13-May-2019,2,undecided but leaning toward business,0,1,71.28,153.92,0,4.717,0:06:37,76.75,81.1,51.11,74.47,In state,1, , ,3,2
29103,9/16/1994,6-Aug-2012,14-May-2018,3,eduactaion,0,0,78.62,221.55,2, ,0:11:02,82.87,83.06,71.03,69.87,In state,0,1,18,7,9
20758,12/26/1993,6-Aug-2012,14-May-2018,3,International Bussness,0,1,64.12,173.01,0,5.005,0:06:42,79.11,83.4,64.08,84.12,In state,0,3,23,5,10
21345,12/19/1993,6-Aug-2012,14-May-2018,3,chemistry,0,1,72.81,228.27,0, ,0:05:03, ,90.42,75.93,79.71,In state,0,3,44, ,19
21389,12/19/1993,6-Aug-2012,08-May-2017,3,dance,1,1,65.39,151.53,0, ,0:08:22,78.95,79.34,64.38, ,In state,0,3,33,4,5
22961,11/30/1993,6-Aug-2012,08-May-2017,3,broadcast journalism,0,1,69.73,221.92,0,5.585,0:06:37,82.18,81.02,66.15,79.47,Out of state,0,3,40,11,6
23155,11/27/1993,6-Aug-2012,14-May-2018,3,Anthropology,1,1,69.59, ,0,5.951,0:07:18, ,84.15,73.84,85.49,In state,0,3,25,3,7
24480,11/11/1993,6-Aug-2012,08-May-2017,3,comm studies,0,1,77.19,207.04,0,5.392,0:07:15,86.69,80.53,63.2,70.74,Out of state,0,1,15,9,7
26776,10/14/1993,6-Aug-2012,08-May-2017,3,Composition,1,0,70.5,178.58,1,7.744, ,79.69,84.04,64.38,80.86,In state,0,1,12,5,10
27203,10/8/1993,6-Aug-2012,08-May-2017,3,"triple major in math, stats, and biology",1,0,77.03,220.63,0,7.423,0:09:52,89.33,95.46,82.45,86.08,In state,0,2,8,4,12
27365,10/7/1993,6-Aug-2012,08-May-2017,3,poli sci,1,0,74.4,162.16,1,8.37,0:11:35,78.66,79.62,52.03,85.68,In state,0,2,6,4,3
27958,9/30/1993,6-Aug-2012,08-May-2017,3,Pre-LawÂ ,0,0,65.68,201.31,0,6.881,0:05:07, ,88.39,70.57,78.42,Out of state,0,3,28, ,6
28874,9/18/1993,6-Aug-2012,14-May-2018,3, ,1,1,62.6,109.93,0,5.824,0:07:55,83.14,83.74,53.37,81.09,Out of state,0,3,31,10,12
29507,9/11/1993,6-Aug-2012,14-May-2018,3, ,1,0,71.39,144.7,0,8.193,0:10:43,94.85,86.33,68.35, ,In state,0, , ,5,12
30904,8/24/1993,6-Aug-2012,08-May-2017,3, ,1,0,61.94,204.23,1,6.075,0:07:41,77.66,66.99,59.6,76.33,In state,0,3,19,3,3
31160,8/20/1993,6-Aug-2012,14-May-2018,3, ,1,1,67.63,167.76,1,5.413,0:06:17,81.45,88.5,64.31,77.29,Out of state,1, , ,5,9
32069,8/11/1993,6-Aug-2012,08-May-2017,3,film studies,0,1,70.75,161.4,0,5.595,0:06:27,82.54,83.33,69.79,83.66,In state,0,4,64,6,4
32440,8/5/1993,6-Aug-2012,08-May-2017,3, ,1,1,64.1,158.74,0,4.779,0:06:13,89.73,84.52,71.87,86.49,In state,0,3,17,2,7
32657,8/4/1993,6-Aug-2012,08-May-2017,3, ,0,0,77.58, ,0,6.333,0:06:04,78.08,70.9,61.43,79.37,In state,0,3,30,3,17
33204,7/28/1993,6-Aug-2012,08-May-2017,3, ,0,1,75.38,163.87,0,5.141,0:06:28,92.32,86.05,62.61,79.61,In state,1, , ,8,3
34212,7/15/1993,6-Aug-2012,14-May-2018,3,epidemiology,1,1,69.66, ,1,5.795,0:07:34,82.98,84.31,67.97,90.9,Out of state,0,1,10,6,16
36657,6/15/1993,6-Aug-2012,14-May-2018,3,Chemstry,1,0,70.71,169.66,2,8.232,0:11:07,91.91,91.58,67.08,85.88,In state,0,3,28,3,9
37328,6/8/1993,6-Aug-2012,14-May-2018,3,jhlksjhreksh,0,1, ,216.02,2,5.867,0:06:47,88.57,83.81,63.18,75.69,In state,0,3,30,5,9
37333,6/7/1993,6-Aug-2012,14-May-2018,3,political science,1,0,64.65,150.23,0,6.566,0:07:32,89.12, ,69.9,86.33,In state,0,3,30,4,15
37881,5/30/1993,6-Aug-2012,08-May-2017,3,n/a,1,0,77.33,202.67,0,7.394,0:10:44, ,80.21,63.59,86.54,Out of state,0,3,23,6,5
38631,5/23/1993,6-Aug-2012,14-May-2018,3, ,0,1,68.07,190.81,0, ,0:06:57,94.67,94.17,81.01,86.68, ,0,3,32,7,8
39033,5/17/1993,6-Aug-2012,08-May-2017,3,biology,1,1,67.69,164.02,0,5.791, ,80.97,70.75,60.08,76.89,Out of state,0,3,28,7,9
39816,5/7/1993,6-Aug-2012,14-May-2018,3, ,1,0,63.96,185.01, ,8.274,0:09:56,78.85,85.44,62.8,76.39,Out of state,0,3,26,1,14
40662,4/29/1993,6-Aug-2012,14-May-2018,3,English with minor in spanish,0,1,76.12,220.77,2,5.671,0:07:42,81.41,74.4,65.1,76.24,Out of state,0,3,25,4,4
40916,4/25/1993,6-Aug-2012,08-May-2017,3,biotechnology,1,0,70.5,275.79,0,7.276,0:10:42,91.25,97.69,77.73,83.53,Out of state,0,3,27,6, 
42216,4/9/1993,6-Aug-2012,08-May-2017,3,nursing,0,0,69.66,148.39,1,7.767,0:08:26,87.73,80.76,54.12,71.37,Out of state,0,3,25,2,4
42474,4/6/1993,6-Aug-2012,14-May-2018,3,epidemeology,1,0,67.65,215.38,0,7.266, ,81.29,84.1, ,74.3,Out of state,0,1,14,2,6
43255,3/29/1993,6-Aug-2012,08-May-2017,3,polisci,0,0,65.56,186.21,1,6.363,0:06:16,79.12,76.14,72.92,71,In state,0,3,23,7,4
48033,1/26/1993,6-Aug-2012,08-May-2017,3, ,1,1,68.84,175.69,0,4.621,0:07:11,83.89,75.34,53.49,72.11,In state,0,1,11,5, 
20243,1/2/1993,6-Aug-2012,08-May-2017,3,spanish,1,0,65.99,128.4,1,8.097,0:12:31,81.96,82.52,64.05,81.58,In state,0,3,21,3,7
22029,12/11/1992,6-Aug-2012,14-May-2018,3, ,1,1,65.17, ,0,6.33,0:06:48,78.98,91.92,74.43,77.14,Out of state,0,2,13,7,22
22147,12/9/1992,6-Aug-2012,14-May-2018,3,statistics,1,0,61.17,126.82,2,7.12,0:09:09,85.67,91.34, ,88.33,In state,0,2,4,5,15
22938,11/30/1992,6-Aug-2012,14-May-2018,3,mechanical engineering,0,0,73.84,261.08,0,6.43, ,75.56, ,57.61, ,Out of state,0,3,23,3,9
23514,11/22/1992,6-Aug-2012,08-May-2017,3,religious studies,1,0, ,115.19,2,8.314,0:10:43,87.76,80.41,46.68,83.13,Out of state,0,3,32,0,4
25866,10/25/1992,6-Aug-2012,08-May-2017,3,Geography,1,1,67.29,158.08,0,6.212,0:07:01,77.78,85.61,65.15,76.63,In state,0,3,27,5,10
26223,10/20/1992,6-Aug-2012,08-May-2017,3, ,1,0,66.67,224.44,0, ,0:07:57,87.29,89.62,69.11, ,In state,0,3,39,4,17
26843,10/13/1992,6-Aug-2012,08-May-2017,3,natural science,1,0,57.24,170,0, ,0:09:27,81,86.66,69.38, ,In state,0,3,25,9,8
27177,10/9/1992,6-Aug-2012,08-May-2017,3, ,1,1,64.14, ,0,5.974,0:06:42,88.15,73.14,46.66,85.12,In state,0,3,22,7,10
27638,10/4/1992,6-Aug-2012,14-May-2018,3,graphic design,0,0,69.99,291.73,0,7.46, , ,69.84,60.41,86.99,Out of state,0,1,16,5,5
28044,9/29/1992,6-Aug-2012,08-May-2017,3,Psyc,0,0,74.37, ,0, ,0:08:40,85.18,96.12,73.09,75.36,In state,0,3,33,4,9
49806,9/22/1992,6-Aug-2012,08-May-2017,3,Art education,1,0,63.22,127.69, ,7.616,0:09:20,78.3, ,77.03,78.7,In state,1, , ,3,4
29967,9/6/1992,6-Aug-2012,08-May-2017,3,pre-med,0,0,74.28,264.16,0,6.091,0:08:06,73.27,82.94,70.89,76.99,In state,0,3,30,6,19
30337,8/31/1992,6-Aug-2012,08-May-2017,3, ,1,1,64.95,150.39,0,5.619,0:07:40,81.75,81.38,56.27,82.77,In state,0,3,27,4,8
33162,7/28/1992,6-Aug-2012,14-May-2018,3,social work,0,0, ,204.54,2,5.451,0:06:24,81.73,86.8,67.03,77.71,In state,1, , ,6,10
34690,7/8/1992,6-Aug-2012,14-May-2018,3, ,1,0,57.06,113.7,2,7.993,0:10:02,83.34,75.52,67,78.89,In state,1, , ,2,14
36009,6/25/1992,6-Aug-2012,08-May-2017,3,English - Creative writing,0,0,71.97,205.43,0,7.954, ,84.25,84.65,60.12,83.74,In state,0,2,12,5,14
38020,5/29/1992,6-Aug-2012,14-May-2018,3,creative writing,1,0,62.43,171.13,1,7.17,0:08:57,86.2,79.24,59.85,75.76, ,0,1,15,3,11
39181,5/17/1992,6-Aug-2012,08-May-2017,3, ,0,0, ,216.33,2,8.892,0:10:28,88.44,72.81,62.49,79.9,In state,0,1,18,2,6
40229,5/4/1992,6-Aug-2012,08-May-2017,3,Liberal Studies,0,0,73.37,180.81,0,7.383, ,84.12,86.28,67.47,78.8,In state,0,3,31,6,8
41425,4/17/1992,6-Aug-2012,08-May-2017,3, ,1,0,62.27,150.22,1, ,0:08:18,79.44,91.34,68.44,80.72,Out of state,0,3,31,3,7
44698,3/8/1992,6-Aug-2012,14-May-2018,3, ,1,0,65.85,137.81,0,7.135, ,83.97,80.5,69.57,84.09,In state,0,3,32,2,4
45041,3/4/1992,6-Aug-2012,08-May-2017,3, ,1,0,65.91,160.53,0, ,0:10:33,81.02,88.09,68.74,83.97,In state,0,3,27,6,10
45095,3/3/1992,6-Aug-2012,08-May-2017,3,fine arts,1,1,69.57,153.19,0,5.153, ,84.5,76.92,68,92.34,Out of state,0,3,32,6,9
45788,2/24/1992,6-Aug-2012,14-May-2018,3,Public Relations,1,1, ,165.64,0,5.772,0:05:18,83.46,87.08,64.73,85.32,In state,0,3,25,6,5
46912,2/13/1992,6-Aug-2012,14-May-2018,3, ,0,0,62.1,130.69,2,7.973,0:05:57, ,81.27, ,76.42,In state,0,3,32,7,5
47122,2/7/1992,6-Aug-2012,14-May-2018,3, ,1,0,62.01,177.3,0,7.186,0:10:38,77.71,99.35,85.57,87.08,In state,0,3,29,9,6
47676,2/3/1992,6-Aug-2012,08-May-2017,3,early childhood education,0,0, ,181.18,1,7.109,0:08:59,88.45,88.33,71.93,78.05,In state,0,3,32, ,18
48702,1/22/1992,6-Aug-2012,14-May-2018,3, ,0,0,62.46,155.3,2,7.853,0:08:13,84.65,68.73,55.84,73.04,Out of state,0,3,32,7,4
48976,1/19/1992,6-Aug-2012,14-May-2018,3, ,0,1,73.51,174.89,2,5.845,0:07:15,85.37,71.2,58.1,77.72,In state,0,3,20,4,8
49137,1/17/1992,6-Aug-2012,14-May-2018,3,Philosophey,0,1,65.37,142.54,2,5.941,0:06:40,79.81,66.57,60.05,77.09,In state,0,1,16,7,9
